class	property	type	description	accepted_types
CreativeWork	isBasedOn	URL	A resource that was used in the creation of this resource. This term can be repeated for multiple sources. For example, http://example.com/great-multiplication-intro.html.	URL or Product or CreativeWork
CreativeWork	isBasedOn	Product	A resource that was used in the creation of this resource. This term can be repeated for multiple sources. For example, http://example.com/great-multiplication-intro.html.	URL or Product or CreativeWork
CreativeWork	isBasedOn	CreativeWork	A resource that was used in the creation of this resource. This term can be repeated for multiple sources. For example, http://example.com/great-multiplication-intro.html.	URL or Product or CreativeWork
Product	isAccessoryOrSparePartFor	Product	A pointer to another product (or multiple products) for which this product is an accessory or spare part.	Product
PublicationEvent	isAccessibleForFree	Boolean	A flag to signal that the item, event, or place is accessible for free.	Boolean or Boolean or Boolean or Boolean
Place	isAccessibleForFree	Boolean	A flag to signal that the item, event, or place is accessible for free.	Boolean or Boolean or Boolean or Boolean
Event	isAccessibleForFree	Boolean	A flag to signal that the item, event, or place is accessible for free.	Boolean or Boolean or Boolean or Boolean
CreativeWork	isAccessibleForFree	Boolean	A flag to signal that the item, event, or place is accessible for free.	Boolean or Boolean or Boolean or Boolean
SomeProducts	inventoryLevel	QuantitativeValue	The current approximate inventory level for the item or items.	QuantitativeValue or QuantitativeValue or QuantitativeValue
Offer	inventoryLevel	QuantitativeValue	The current approximate inventory level for the item or items.	QuantitativeValue or QuantitativeValue or QuantitativeValue
Demand	inventoryLevel	QuantitativeValue	The current approximate inventory level for the item or items.	QuantitativeValue or QuantitativeValue or QuantitativeValue
FinancialProduct	interestRate	QuantitativeValue	The interest rate, charged or paid, applicable to the financial product. Note: This is different from the calculated annualPercentageRate.	QuantitativeValue or Number
FinancialProduct	interestRate	Number	The interest rate, charged or paid, applicable to the financial product. Note: This is different from the calculated annualPercentageRate.	QuantitativeValue or Number
CreativeWork	interactivityType	Text	The predominant mode of learning supported by the learning resource. Acceptable values are 'active', 'expositive', or 'mixed'.	Text
InteractionCounter	interactionType	Action	The Action representing the type of interaction. For up votes, +1s, etc. use [[LikeAction]]. For down votes use [[DislikeAction]]. Otherwise, use the most specific Action.	Action
CreativeWork	interactionStatistic	InteractionCounter	The number of interactions for the CreativeWork using the WebSite or SoftwareApplication. The most specific child type of InteractionCounter should be used.	InteractionCounter
InteractionCounter	interactionService	WebSite	The WebSite or SoftwareApplication where the interactions took place.	WebSite or SoftwareApplication
InteractionCounter	interactionService	SoftwareApplication	The WebSite or SoftwareApplication where the interactions took place.	WebSite or SoftwareApplication
Action	instrument	Thing	The object that helped the agent perform the action. e.g. John wrote a book with *a pen*.	Thing
CourseInstance	instructor	Person	A person assigned to instruct or provide instructional assistance for the [[CourseInstance]].	Person
SoftwareApplication	installUrl	URL	URL at which the app may be installed, if different from the URL of the item.	URL
Recipe	ingredients	Text	A single ingredient used in the recipe, e.g. sugar, flour or garlic.	Text
Offer	ineligibleRegion	Text	"The ISO 3166-1 (ISO 3166-1 alpha-2) or ISO 3166-2 code, the place, or the GeoShape for the geo-political region(s) for which the offer or delivery charge specification is not valid, e.g. a region where the transaction is not allowed.\n\nSee also [[eligibleRegion]].
"	Text or Place or GeoShape or Text or Place or GeoShape or Text or Place or GeoShape
Offer	ineligibleRegion	Place	"The ISO 3166-1 (ISO 3166-1 alpha-2) or ISO 3166-2 code, the place, or the GeoShape for the geo-political region(s) for which the offer or delivery charge specification is not valid, e.g. a region where the transaction is not allowed.\n\nSee also [[eligibleRegion]].
"	Text or Place or GeoShape or Text or Place or GeoShape or Text or Place or GeoShape
Offer	ineligibleRegion	GeoShape	"The ISO 3166-1 (ISO 3166-1 alpha-2) or ISO 3166-2 code, the place, or the GeoShape for the geo-political region(s) for which the offer or delivery charge specification is not valid, e.g. a region where the transaction is not allowed.\n\nSee also [[eligibleRegion]].
"	Text or Place or GeoShape or Text or Place or GeoShape or Text or Place or GeoShape
Demand	ineligibleRegion	Text	"The ISO 3166-1 (ISO 3166-1 alpha-2) or ISO 3166-2 code, the place, or the GeoShape for the geo-political region(s) for which the offer or delivery charge specification is not valid, e.g. a region where the transaction is not allowed.\n\nSee also [[eligibleRegion]].
"	Text or Place or GeoShape or Text or Place or GeoShape or Text or Place or GeoShape
Demand	ineligibleRegion	Place	"The ISO 3166-1 (ISO 3166-1 alpha-2) or ISO 3166-2 code, the place, or the GeoShape for the geo-political region(s) for which the offer or delivery charge specification is not valid, e.g. a region where the transaction is not allowed.\n\nSee also [[eligibleRegion]].
"	Text or Place or GeoShape or Text or Place or GeoShape or Text or Place or GeoShape
Demand	ineligibleRegion	GeoShape	"The ISO 3166-1 (ISO 3166-1 alpha-2) or ISO 3166-2 code, the place, or the GeoShape for the geo-political region(s) for which the offer or delivery charge specification is not valid, e.g. a region where the transaction is not allowed.\n\nSee also [[eligibleRegion]].
"	Text or Place or GeoShape or Text or Place or GeoShape or Text or Place or GeoShape
DeliveryChargeSpecification	ineligibleRegion	Text	"The ISO 3166-1 (ISO 3166-1 alpha-2) or ISO 3166-2 code, the place, or the GeoShape for the geo-political region(s) for which the offer or delivery charge specification is not valid, e.g. a region where the transaction is not allowed.\n\nSee also [[eligibleRegion]].
"	Text or Place or GeoShape or Text or Place or GeoShape or Text or Place or GeoShape
DeliveryChargeSpecification	ineligibleRegion	Place	"The ISO 3166-1 (ISO 3166-1 alpha-2) or ISO 3166-2 code, the place, or the GeoShape for the geo-political region(s) for which the offer or delivery charge specification is not valid, e.g. a region where the transaction is not allowed.\n\nSee also [[eligibleRegion]].
"	Text or Place or GeoShape or Text or Place or GeoShape or Text or Place or GeoShape
DeliveryChargeSpecification	ineligibleRegion	GeoShape	"The ISO 3166-1 (ISO 3166-1 alpha-2) or ISO 3166-2 code, the place, or the GeoShape for the geo-political region(s) for which the offer or delivery charge specification is not valid, e.g. a region where the transaction is not allowed.\n\nSee also [[eligibleRegion]].
"	Text or Place or GeoShape or Text or Place or GeoShape or Text or Place or GeoShape
JobPosting	industry	Text	The industry associated with the job position.	Text
Offer	includesObject	TypeAndQuantityNode	This links to a node or nodes indicating the exact quantity of the products included in the offer.	TypeAndQuantityNode or TypeAndQuantityNode
Demand	includesObject	TypeAndQuantityNode	This links to a node or nodes indicating the exact quantity of the products included in the offer.	TypeAndQuantityNode or TypeAndQuantityNode
Dataset	includedInDataCatalog	DataCatalog	A data catalog which contains this dataset.	DataCatalog
Dataset	includedDataCatalog	DataCatalog	A data catalog which contains this dataset (this property was previously 'catalog', preferred name is now 'includedInDataCatalog').	DataCatalog
MusicComposition	includedComposition	MusicComposition	Smaller compositions included in this work (e.g. a movement in a symphony).	MusicComposition
JobPosting	incentives	Text	Description of bonus and commission compensation aspects of the job.	Text
JobPosting	incentiveCompensation	Text	Description of bonus and commission compensation aspects of the job.	Text
MusicRecording	inPlaylist	MusicPlaylist	The playlist to which this recording belongs.	MusicPlaylist
WriteAction	inLanguage	Text	The language of the content or performance or used in an action. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[availableLanguage]].	Text or Language or Text or Language or Text or Language or Text or Language
WriteAction	inLanguage	Language	The language of the content or performance or used in an action. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[availableLanguage]].	Text or Language or Text or Language or Text or Language or Text or Language
Event	inLanguage	Text	The language of the content or performance or used in an action. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[availableLanguage]].	Text or Language or Text or Language or Text or Language or Text or Language
Event	inLanguage	Language	The language of the content or performance or used in an action. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[availableLanguage]].	Text or Language or Text or Language or Text or Language or Text or Language
CreativeWork	inLanguage	Text	The language of the content or performance or used in an action. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[availableLanguage]].	Text or Language or Text or Language or Text or Language or Text or Language
CreativeWork	inLanguage	Language	The language of the content or performance or used in an action. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[availableLanguage]].	Text or Language or Text or Language or Text or Language or Text or Language
CommunicateAction	inLanguage	Text	The language of the content or performance or used in an action. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[availableLanguage]].	Text or Language or Text or Language or Text or Language or Text or Language
CommunicateAction	inLanguage	Language	The language of the content or performance or used in an action. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[availableLanguage]].	Text or Language or Text or Language or Text or Language or Text or Language
BroadcastChannel	inBroadcastLineup	CableOrSatelliteService	The CableOrSatelliteService offering the channel.	CableOrSatelliteService
MusicRecording	inAlbum	MusicAlbum	The album to which this recording belongs.	MusicAlbum
Thing	image	URL	An image of the item. This can be a [[URL]] or a fully described [[ImageObject]].	URL or ImageObject
Thing	image	ImageObject	An image of the item. This can be a [[URL]] or a fully described [[ImageObject]].	URL or ImageObject
Book	illustrator	Person	The illustrator of the book.	Person
Thing	identifier	URL	"The identifier property represents any kind of identifier for any kind of [[Thing]], such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See [background notes](/docs/datamodel.html#identifierBg) for more details.
"	URL or Text or PropertyValue
Thing	identifier	Text	"The identifier property represents any kind of identifier for any kind of [[Thing]], such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See [background notes](/docs/datamodel.html#identifierBg) for more details.
"	URL or Text or PropertyValue
Thing	identifier	PropertyValue	"The identifier property represents any kind of identifier for any kind of [[Thing]], such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See [background notes](/docs/datamodel.html#identifierBg) for more details.
"	URL or Text or PropertyValue
Airport	icaoCode	Text	ICAO identifier for an airport.	Text
Airport	iataCode	Text	IATA identifier for an airline or airport.	Text or Text
Airline	iataCode	Text	IATA identifier for an airline or airport.	Text or Text
EntryPoint	httpMethod	Text	An HTTP method that specifies the appropriate HTTP method for a request to an HTTP EntryPoint. Values are capitalized strings as used in HTTP.	Text
Service	hoursAvailable	OpeningHoursSpecification	The hours during which this service or contact is available.	OpeningHoursSpecification or OpeningHoursSpecification or OpeningHoursSpecification
LocationFeatureSpecification	hoursAvailable	OpeningHoursSpecification	The hours during which this service or contact is available.	OpeningHoursSpecification or OpeningHoursSpecification or OpeningHoursSpecification
ContactPoint	hoursAvailable	OpeningHoursSpecification	The hours during which this service or contact is available.	OpeningHoursSpecification or OpeningHoursSpecification or OpeningHoursSpecification
ProgramMembership	hostingOrganization	Organization	The organization (airline, travelers' club, etc.) the membership is made with.	Organization
Person	honorificSuffix	Text	An honorific suffix preceding a Person's name such as M.D. /PhD/MSCSW.	Text
Person	honorificPrefix	Text	An honorific prefix preceding a Person's name such as Dr/Mrs/Mr.	Text
SportsEvent	homeTeam	SportsTeam	The home team in a sports event.	SportsTeam or Person
SportsEvent	homeTeam	Person	The home team in a sports event.	SportsTeam or Person
Person	homeLocation	Place	A contact location for a person's residence.	Place or ContactPoint
Person	homeLocation	ContactPoint	A contact location for a person's residence.	Place or ContactPoint
JobPosting	hiringOrganization	Organization	Organization offering the job position.	Organization
AggregateOffer	highPrice	Text	The highest price of all offers available.	Text or Number
AggregateOffer	highPrice	Number	The highest price of all offers available.	Text or Number
VisualArtwork	height	QuantitativeValue	The height of the item.	QuantitativeValue or Distance or QuantitativeValue or Distance or QuantitativeValue or Distance or QuantitativeValue or Distance
VisualArtwork	height	Distance	The height of the item.	QuantitativeValue or Distance or QuantitativeValue or Distance or QuantitativeValue or Distance or QuantitativeValue or Distance
Product	height	QuantitativeValue	The height of the item.	QuantitativeValue or Distance or QuantitativeValue or Distance or QuantitativeValue or Distance or QuantitativeValue or Distance
Product	height	Distance	The height of the item.	QuantitativeValue or Distance or QuantitativeValue or Distance or QuantitativeValue or Distance or QuantitativeValue or Distance
Person	height	QuantitativeValue	The height of the item.	QuantitativeValue or Distance or QuantitativeValue or Distance or QuantitativeValue or Distance or QuantitativeValue or Distance
Person	height	Distance	The height of the item.	QuantitativeValue or Distance or QuantitativeValue or Distance or QuantitativeValue or Distance or QuantitativeValue or Distance
MediaObject	height	QuantitativeValue	The height of the item.	QuantitativeValue or Distance or QuantitativeValue or Distance or QuantitativeValue or Distance or QuantitativeValue or Distance
MediaObject	height	Distance	The height of the item.	QuantitativeValue or Distance or QuantitativeValue or Distance or QuantitativeValue or Distance or QuantitativeValue or Distance
CreativeWork	headline	Text	Headline of the article.	Text
CreativeWork	hasPart	CreativeWork	Indicates an item or CreativeWork that is part of this item, or CreativeWork (in some sense).	CreativeWork
Person	hasPOS	Place	Points-of-Sales operated by the organization or person.	Place or Place
Organization	hasPOS	Place	Points-of-Sales operated by the organization or person.	Place or Place
Service	hasOfferCatalog	OfferCatalog	Indicates an OfferCatalog listing for this Organization, Person, or Service.	OfferCatalog or OfferCatalog or OfferCatalog
Person	hasOfferCatalog	OfferCatalog	Indicates an OfferCatalog listing for this Organization, Person, or Service.	OfferCatalog or OfferCatalog or OfferCatalog
Organization	hasOfferCatalog	OfferCatalog	Indicates an OfferCatalog listing for this Organization, Person, or Service.	OfferCatalog or OfferCatalog or OfferCatalog
MenuSection	hasMenuSection	MenuSection	A subgrouping of the menu (by dishes, course, serving time period, etc.).	MenuSection or MenuSection
Menu	hasMenuSection	MenuSection	A subgrouping of the menu (by dishes, course, serving time period, etc.).	MenuSection or MenuSection
MenuSection	hasMenuItem	MenuItem	A food or drink item contained in a menu or menu section.	MenuItem or MenuItem
Menu	hasMenuItem	MenuItem	A food or drink item contained in a menu or menu section.	MenuItem or MenuItem
FoodEstablishment	hasMenu	URL	Either the actual menu as a structured representation, as text, or a URL of the menu.	URL or Text or Menu
FoodEstablishment	hasMenu	Text	Either the actual menu as a structured representation, as text, or a URL of the menu.	URL or Text or Menu
FoodEstablishment	hasMenu	Menu	Either the actual menu as a structured representation, as text, or a URL of the menu.	URL or Text or Menu
Place	hasMap	URL	A URL to a map of the place.	URL or Map
Place	hasMap	Map	A URL to a map of the place.	URL or Map
DigitalDocument	hasDigitalDocumentPermission	DigitalDocumentPermission	"A permission related to the access to this document (e.g. permission to read or write an electronic document). For a public document, specify a grantee with an Audience with audienceType equal to ""public""."	DigitalDocumentPermission
ParcelDelivery	hasDeliveryMethod	DeliveryMethod	Method used for delivery or shipping.	DeliveryMethod or DeliveryMethod
DeliveryEvent	hasDeliveryMethod	DeliveryMethod	Method used for delivery or shipping.	DeliveryMethod or DeliveryMethod
Course	hasCourseInstance	CourseInstance	An offering of the course at a specific time and place or through specific media or mode of study or to a specific section of students.	CourseInstance
Product	gtin8	Text	The [GTIN-8](http://apps.gs1.org/GDD/glossary/Pages/GTIN-8.aspx) code of the product, or the product to which the offer refers. This code is also known as EAN/UCC-8 or 8-digit EAN. See [GS1 GTIN Summary](http://www.gs1.org/barcodes/technical/idkeys/gtin) for more details.	Text or Text or Text
Offer	gtin8	Text	The [GTIN-8](http://apps.gs1.org/GDD/glossary/Pages/GTIN-8.aspx) code of the product, or the product to which the offer refers. This code is also known as EAN/UCC-8 or 8-digit EAN. See [GS1 GTIN Summary](http://www.gs1.org/barcodes/technical/idkeys/gtin) for more details.	Text or Text or Text
Demand	gtin8	Text	The [GTIN-8](http://apps.gs1.org/GDD/glossary/Pages/GTIN-8.aspx) code of the product, or the product to which the offer refers. This code is also known as EAN/UCC-8 or 8-digit EAN. See [GS1 GTIN Summary](http://www.gs1.org/barcodes/technical/idkeys/gtin) for more details.	Text or Text or Text
Product	gtin14	Text	The [GTIN-14](http://apps.gs1.org/GDD/glossary/Pages/GTIN-14.aspx) code of the product, or the product to which the offer refers. See [GS1 GTIN Summary](http://www.gs1.org/barcodes/technical/idkeys/gtin) for more details.	Text or Text or Text
Offer	gtin14	Text	The [GTIN-14](http://apps.gs1.org/GDD/glossary/Pages/GTIN-14.aspx) code of the product, or the product to which the offer refers. See [GS1 GTIN Summary](http://www.gs1.org/barcodes/technical/idkeys/gtin) for more details.	Text or Text or Text
Demand	gtin14	Text	The [GTIN-14](http://apps.gs1.org/GDD/glossary/Pages/GTIN-14.aspx) code of the product, or the product to which the offer refers. See [GS1 GTIN Summary](http://www.gs1.org/barcodes/technical/idkeys/gtin) for more details.	Text or Text or Text
Product	gtin13	Text	The [GTIN-13](http://apps.gs1.org/GDD/glossary/Pages/GTIN-13.aspx) code of the product, or the product to which the offer refers. This is equivalent to 13-digit ISBN codes and EAN UCC-13. Former 12-digit UPC codes can be converted into a GTIN-13 code by simply adding a preceeding zero. See [GS1 GTIN Summary](http://www.gs1.org/barcodes/technical/idkeys/gtin) for more details.	Text or Text or Text
Offer	gtin13	Text	The [GTIN-13](http://apps.gs1.org/GDD/glossary/Pages/GTIN-13.aspx) code of the product, or the product to which the offer refers. This is equivalent to 13-digit ISBN codes and EAN UCC-13. Former 12-digit UPC codes can be converted into a GTIN-13 code by simply adding a preceeding zero. See [GS1 GTIN Summary](http://www.gs1.org/barcodes/technical/idkeys/gtin) for more details.	Text or Text or Text
Demand	gtin13	Text	The [GTIN-13](http://apps.gs1.org/GDD/glossary/Pages/GTIN-13.aspx) code of the product, or the product to which the offer refers. This is equivalent to 13-digit ISBN codes and EAN UCC-13. Former 12-digit UPC codes can be converted into a GTIN-13 code by simply adding a preceeding zero. See [GS1 GTIN Summary](http://www.gs1.org/barcodes/technical/idkeys/gtin) for more details.	Text or Text or Text
Product	gtin12	Text	The [GTIN-12](http://apps.gs1.org/GDD/glossary/Pages/GTIN-12.aspx) code of the product, or the product to which the offer refers. The GTIN-12 is the 12-digit GS1 Identification Key composed of a U.P.C. Company Prefix, Item Reference, and Check Digit used to identify trade items. See [GS1 GTIN Summary](http://www.gs1.org/barcodes/technical/idkeys/gtin) for more details.	Text or Text or Text
Offer	gtin12	Text	The [GTIN-12](http://apps.gs1.org/GDD/glossary/Pages/GTIN-12.aspx) code of the product, or the product to which the offer refers. The GTIN-12 is the 12-digit GS1 Identification Key composed of a U.P.C. Company Prefix, Item Reference, and Check Digit used to identify trade items. See [GS1 GTIN Summary](http://www.gs1.org/barcodes/technical/idkeys/gtin) for more details.	Text or Text or Text
Demand	gtin12	Text	The [GTIN-12](http://apps.gs1.org/GDD/glossary/Pages/GTIN-12.aspx) code of the product, or the product to which the offer refers. The GTIN-12 is the 12-digit GS1 Identification Key composed of a U.P.C. Company Prefix, Item Reference, and Check Digit used to identify trade items. See [GS1 GTIN Summary](http://www.gs1.org/barcodes/technical/idkeys/gtin) for more details.	Text or Text or Text
QualitativeValue	greaterOrEqual	QualitativeValue	This ordering relation for qualitative values indicates that the subject is greater than or equal to the object.	QualitativeValue
QualitativeValue	greater	QualitativeValue	This ordering relation for qualitative values indicates that the subject is greater than the object.	QualitativeValue
DigitalDocumentPermission	grantee	Person	The person, organization, contact point, or audience that has been granted this permission.	Person or Organization or ContactPoint or Audience
DigitalDocumentPermission	grantee	Organization	The person, organization, contact point, or audience that has been granted this permission.	Person or Organization or ContactPoint or Audience
DigitalDocumentPermission	grantee	ContactPoint	The person, organization, contact point, or audience that has been granted this permission.	Person or Organization or ContactPoint or Audience
DigitalDocumentPermission	grantee	Audience	The person, organization, contact point, or audience that has been granted this permission.	Person or Organization or ContactPoint or Audience
Place	globalLocationNumber	Text	The [Global Location Number](http://www.gs1.org/gln) (GLN, sometimes also referred to as International Location Number or ILN) of the respective organization, person, or place. The GLN is a 13-digit number used to identify parties and physical locations.	Text or Text or Text
Person	globalLocationNumber	Text	The [Global Location Number](http://www.gs1.org/gln) (GLN, sometimes also referred to as International Location Number or ILN) of the respective organization, person, or place. The GLN is a 13-digit number used to identify parties and physical locations.	Text or Text or Text
Organization	globalLocationNumber	Text	The [Global Location Number](http://www.gs1.org/gln) (GLN, sometimes also referred to as International Location Number or ILN) of the respective organization, person, or place. The GLN is a 13-digit number used to identify parties and physical locations.	Text or Text or Text
Person	givenName	Text	Given name. In the U.S., the first name of a Person. This can be used along with familyName instead of the name property.	Text
Audience	geographicArea	AdministrativeArea	The geographic area associated with the audience.	AdministrativeArea
GeoCircle	geoRadius	Text	Indicates the approximate radius of a GeoCircle (metres unless indicated otherwise via Distance notation).	Text or Number or Distance
GeoCircle	geoRadius	Number	Indicates the approximate radius of a GeoCircle (metres unless indicated otherwise via Distance notation).	Text or Number or Distance
GeoCircle	geoRadius	Distance	Indicates the approximate radius of a GeoCircle (metres unless indicated otherwise via Distance notation).	Text or Number or Distance
GeoCircle	geoMidpoint	GeoCoordinates	Indicates the GeoCoordinates at the centre of a GeoShape e.g. GeoCircle.	GeoCoordinates
Place	geo	GeoShape	The geo coordinates of the place.	GeoShape or GeoCoordinates
Place	geo	GeoCoordinates	The geo coordinates of the place.	GeoShape or GeoCoordinates
MusicGroup	genre	URL	Genre of the creative work, broadcast channel or group.	URL or Text or URL or Text or URL or Text
MusicGroup	genre	Text	Genre of the creative work, broadcast channel or group.	URL or Text or URL or Text or URL or Text
CreativeWork	genre	URL	Genre of the creative work, broadcast channel or group.	URL or Text or URL or Text or URL or Text
CreativeWork	genre	Text	Genre of the creative work, broadcast channel or group.	URL or Text or URL or Text or URL or Text
BroadcastChannel	genre	URL	Genre of the creative work, broadcast channel or group.	URL or Text or URL or Text or URL or Text
BroadcastChannel	genre	Text	Genre of the creative work, broadcast channel or group.	URL or Text or URL or Text or URL or Text
Person	gender	Text	Gender of the person. While http://schema.org/Male and http://schema.org/Female may be used, text strings are also acceptable for people who do not identify as a binary gender.	Text or GenderType
Person	gender	GenderType	Gender of the person. While http://schema.org/Male and http://schema.org/Female may be used, text strings are also acceptable for people who do not identify as a binary gender.	Text or GenderType
VideoGame	gameTip	CreativeWork	Links to tips, tactics, etc.	CreativeWork
VideoGame	gameServer	GameServer	The server on which  it is possible to play the game.	GameServer
VideoGameSeries	gamePlatform	URL	"The electronic systems used to play <a href=""http://en.wikipedia.org/wiki/Category:Video_game_platforms"">video games</a>."	URL or Thing or Text or URL or Thing or Text
VideoGameSeries	gamePlatform	Thing	"The electronic systems used to play <a href=""http://en.wikipedia.org/wiki/Category:Video_game_platforms"">video games</a>."	URL or Thing or Text or URL or Thing or Text
VideoGameSeries	gamePlatform	Text	"The electronic systems used to play <a href=""http://en.wikipedia.org/wiki/Category:Video_game_platforms"">video games</a>."	URL or Thing or Text or URL or Thing or Text
VideoGame	gamePlatform	URL	"The electronic systems used to play <a href=""http://en.wikipedia.org/wiki/Category:Video_game_platforms"">video games</a>."	URL or Thing or Text or URL or Thing or Text
VideoGame	gamePlatform	Thing	"The electronic systems used to play <a href=""http://en.wikipedia.org/wiki/Category:Video_game_platforms"">video games</a>."	URL or Thing or Text or URL or Thing or Text
VideoGame	gamePlatform	Text	"The electronic systems used to play <a href=""http://en.wikipedia.org/wiki/Category:Video_game_platforms"">video games</a>."	URL or Thing or Text or URL or Thing or Text
VideoGameSeries	gameLocation	URL	Real or fictional location of the game (or part of game).	URL or PostalAddress or Place or URL or PostalAddress or Place
VideoGameSeries	gameLocation	PostalAddress	Real or fictional location of the game (or part of game).	URL or PostalAddress or Place or URL or PostalAddress or Place
VideoGameSeries	gameLocation	Place	Real or fictional location of the game (or part of game).	URL or PostalAddress or Place or URL or PostalAddress or Place
Game	gameLocation	URL	Real or fictional location of the game (or part of game).	URL or PostalAddress or Place or URL or PostalAddress or Place
Game	gameLocation	PostalAddress	Real or fictional location of the game (or part of game).	URL or PostalAddress or Place or URL or PostalAddress or Place
Game	gameLocation	Place	Real or fictional location of the game (or part of game).	URL or PostalAddress or Place or URL or PostalAddress or Place
VideoGameSeries	gameItem	Thing	An item is an object within the game world that can be collected by a player or, occasionally, a non-player character.	Thing or Thing
Game	gameItem	Thing	An item is an object within the game world that can be collected by a player or, occasionally, a non-player character.	Thing or Thing
GameServer	game	VideoGame	Video game which is played on this server.	VideoGame
Person	funder	Person	A person or organization that supports (sponsors) something through some kind of financial contribution.	Person or Organization or Person or Organization or Person or Organization or Person or Organization
Person	funder	Organization	A person or organization that supports (sponsors) something through some kind of financial contribution.	Person or Organization or Person or Organization or Person or Organization or Person or Organization
Organization	funder	Person	A person or organization that supports (sponsors) something through some kind of financial contribution.	Person or Organization or Person or Organization or Person or Organization or Person or Organization
Organization	funder	Organization	A person or organization that supports (sponsors) something through some kind of financial contribution.	Person or Organization or Person or Organization or Person or Organization or Person or Organization
Event	funder	Person	A person or organization that supports (sponsors) something through some kind of financial contribution.	Person or Organization or Person or Organization or Person or Organization or Person or Organization
Event	funder	Organization	A person or organization that supports (sponsors) something through some kind of financial contribution.	Person or Organization or Person or Organization or Person or Organization or Person or Organization
CreativeWork	funder	Person	A person or organization that supports (sponsors) something through some kind of financial contribution.	Person or Organization or Person or Organization or Person or Organization or Person or Organization
CreativeWork	funder	Organization	A person or organization that supports (sponsors) something through some kind of financial contribution.	Person or Organization or Person or Organization or Person or Organization or Person or Organization
Vehicle	fuelType	URL	The type of fuel suitable for the engine or engines of the vehicle. If the vehicle has only one engine, this property can be attached directly to the vehicle.	URL or Text or QualitativeValue or URL or Text or QualitativeValue
Vehicle	fuelType	Text	The type of fuel suitable for the engine or engines of the vehicle. If the vehicle has only one engine, this property can be attached directly to the vehicle.	URL or Text or QualitativeValue or URL or Text or QualitativeValue
Vehicle	fuelType	QualitativeValue	The type of fuel suitable for the engine or engines of the vehicle. If the vehicle has only one engine, this property can be attached directly to the vehicle.	URL or Text or QualitativeValue or URL or Text or QualitativeValue
EngineSpecification	fuelType	URL	The type of fuel suitable for the engine or engines of the vehicle. If the vehicle has only one engine, this property can be attached directly to the vehicle.	URL or Text or QualitativeValue or URL or Text or QualitativeValue
EngineSpecification	fuelType	Text	The type of fuel suitable for the engine or engines of the vehicle. If the vehicle has only one engine, this property can be attached directly to the vehicle.	URL or Text or QualitativeValue or URL or Text or QualitativeValue
EngineSpecification	fuelType	QualitativeValue	The type of fuel suitable for the engine or engines of the vehicle. If the vehicle has only one engine, this property can be attached directly to the vehicle.	URL or Text or QualitativeValue or URL or Text or QualitativeValue
Vehicle	fuelEfficiency	QuantitativeValue	"The distance traveled per unit of fuel used; most commonly miles per gallon (mpg) or kilometers per liter (km/L).\n\n* Note 1: There are unfortunately no standard unit codes for miles per gallon or kilometers per liter. Use [[unitText]] to indicate the unit of measurement, e.g. mpg or km/L.\n* Note 2: There are two ways of indicating the fuel consumption, [[fuelConsumption]] (e.g. 8 liters per 100 km) and [[fuelEfficiency]] (e.g. 30 miles per gallon). They are reciprocal.\n* Note 3: Often, the absolute value is useful only when related to driving speed (""at 80 km/h"") or usage pattern (""city traffic""). You can use [[valueReference]] to link the value for the fuel economy to another value."	QuantitativeValue
Vehicle	fuelConsumption	QuantitativeValue	"The amount of fuel consumed for traveling a particular distance or temporal duration with the given vehicle (e.g. liters per 100 km).\n\n* Note 1: There are unfortunately no standard unit codes for liters per 100 km.  Use [[unitText]] to indicate the unit of measurement, e.g. L/100 km.\n* Note 2: There are two ways of indicating the fuel consumption, [[fuelConsumption]] (e.g. 8 liters per 100 km) and [[fuelEfficiency]] (e.g. 30 miles per gallon). They are reciprocal.\n* Note 3: Often, the absolute value is useful only when related to driving speed (""at 80 km/h"") or usage pattern (""city traffic""). You can use [[valueReference]] to link the value for the fuel consumption to another value."	QuantitativeValue
TransferAction	fromLocation	Place	A sub property of location. The original location of the object or the agent before the action.	Place or Place or Place
MoveAction	fromLocation	Place	A sub property of location. The original location of the object or the agent before the action.	Place or Place or Place
ExerciseAction	fromLocation	Place	A sub property of location. The original location of the object or the agent before the action.	Place or Place or Place
PublicationEvent	free	Boolean	A flag to signal that the item, event, or place is accessible for free.	Boolean
Organization	foundingLocation	Place	The place where the Organization was founded.	Place
